               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 271,           0.0088714,            0.001722,          7.3993e-05,             0.96307,               0.963,             0.97847,             0.79395,           0.0074335,           0.0047855,          2.4136e-06,           0.0021958,           0.0021958,           0.0021958
                 272,           0.0084705,           0.0014444,          5.1779e-05,             0.96596,             0.96208,             0.97847,             0.79408,           0.0074078,           0.0043729,          2.3125e-06,           0.0020123,           0.0020123,           0.0020123
                 273,           0.0083407,           0.0014059,          4.5898e-05,             0.96768,             0.96222,             0.97888,             0.79404,           0.0073853,           0.0040203,          2.2188e-06,           0.0022271,           0.0022271,           0.0022271
                 274,           0.0082774,           0.0013806,          4.2938e-05,             0.96735,             0.96296,             0.97919,             0.79395,           0.0073671,           0.0037075,           2.147e-06,           0.0024312,           0.0024312,           0.0024312
                 275,           0.0081741,           0.0013672,          4.1159e-05,             0.96704,             0.96375,              0.9801,             0.79496,           0.0073492,           0.0034259,          2.0851e-06,           0.0026196,           0.0026196,           0.0026196
                 276,           0.0081958,           0.0013503,          4.1575e-05,              0.9632,             0.96757,             0.98015,             0.79408,            0.007337,           0.0031669,          2.0291e-06,           0.0027876,           0.0027876,           0.0027876
                 277,           0.0081804,           0.0013489,          3.9939e-05,             0.96529,             0.96576,             0.98068,             0.79364,           0.0073278,           0.0029306,          1.9806e-06,           0.0029311,           0.0029311,           0.0029311
                 278,           0.0081753,           0.0013426,          4.0693e-05,             0.96626,             0.96406,             0.98072,              0.7933,           0.0073197,           0.0027172,          1.9443e-06,           0.0030465,           0.0030465,           0.0030465
                 279,           0.0082067,           0.0013476,          4.5095e-05,             0.96638,             0.96354,             0.98077,             0.79346,           0.0073092,           0.0025244,          1.9216e-06,           0.0031311,           0.0031311,           0.0031311
                 280,           0.0081257,           0.0013312,          3.5145e-05,               0.965,             0.96441,             0.98151,             0.79352,           0.0072971,           0.0023479,          1.9293e-06,           0.0031827,           0.0031827,           0.0031827
                 281,           0.0080745,           0.0013335,          3.7404e-05,             0.96676,             0.96121,             0.98181,             0.79354,           0.0072904,           0.0021891,          1.9446e-06,              0.0032,              0.0032,              0.0032
                 282,           0.0080152,           0.0013244,          3.6253e-05,             0.96596,             0.96073,             0.98135,             0.79425,           0.0072831,           0.0020464,          1.9667e-06,           0.0031827,           0.0031827,           0.0031827
                 283,           0.0080275,           0.0013197,            3.87e-05,             0.96567,             0.95946,              0.9811,             0.79423,           0.0072717,           0.0019181,          2.0278e-06,           0.0031311,           0.0031311,           0.0031311
                 284,           0.0079589,           0.0013106,          3.2756e-05,             0.96638,             0.95864,             0.98201,             0.79479,           0.0072636,           0.0018044,          2.0657e-06,           0.0030465,           0.0030465,           0.0030465
                 285,           0.0079839,           0.0013164,          4.1168e-05,             0.96635,             0.95776,             0.98235,              0.7957,           0.0072597,           0.0017022,          2.1513e-06,           0.0029311,           0.0029311,           0.0029311
                 286,           0.0078926,           0.0012991,           3.166e-05,             0.96608,             0.95824,             0.98241,             0.79623,           0.0072475,           0.0016088,          2.2649e-06,           0.0027876,           0.0027876,           0.0027876
                 287,           0.0078469,           0.0013001,          3.2567e-05,             0.96482,             0.95903,             0.98357,             0.79732,           0.0072369,            0.001526,          2.3574e-06,           0.0026196,           0.0026196,           0.0026196
                 288,             0.00776,           0.0012899,          2.9483e-05,             0.96587,             0.95777,             0.98434,             0.79859,           0.0072225,            0.001453,          2.4748e-06,           0.0024312,           0.0024312,           0.0024312
                 289,            0.007717,           0.0012942,          2.8797e-05,             0.96865,             0.95444,             0.98479,             0.79958,           0.0072118,           0.0013891,          2.5905e-06,           0.0022271,           0.0022271,           0.0022271
